Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_0199,ND (below stat. threshold of conf.),-0.020,Uncharacterized protein,N/A,7.85E-01,8.62E-01,-0.763404032,No,non-essential
Synpcc7942_0200,ND (below stat. threshold of conf.),-0.160,Uncharacterized protein,N/A,1.37E-01,2.58E-01,-0.949650608,No,non-essential
Synpcc7942_0201,ND (below stat. threshold of conf.),-0.086,Uncharacterized protein,N/A,3.33E-01,4.85E-01,-0.70838446,No,non-essential
Synpcc7942_0202,ND (below stat. threshold of conf.),-0.038,Cbb3-type cytochrome oxidase subunit 1-like,N/A,5.12E-01,6.49E-01,-0.688315982,No,non-essential
Synpcc7942_0203,Not analyzed,,5-amino-6-(5-phosphoribosylamino)uracil reductase / diaminohydroxyphosphoribosylaminopyrimidine deaminase,ribD,,,0.037022314,No,essential
Synpcc7942_0204,ND (below stat. threshold of conf.),-0.169,Uncharacterized protein,N/A,2.13E-01,3.56E-01,0.474835313,No,non-essential
Synpcc7942_0205,Not analyzed,,nicotinamide-nucleotide adenylyltransferase,N/A,,,-0.329690702,No,beneficial
Synpcc7942_0206,ND (below stat. threshold of conf.),0.146,Nicotinic acid phosphoribosyltransferase-like,N/A,8.42E-02,1.78E-01,-0.068372175,No,non-essential
Synpcc7942_0207,ND (below stat. threshold of conf.),-0.033,Uncharacterized protein,N/A,9.03E-01,9.39E-01,-0.367129684,No,non-essential
Synpcc7942_0208,Negligable/minor,-0.339,TPR repeat,N/A,9.26E-16,1.86E-14,-0.170992694,No,non-essential
Synpcc7942_0209,ND (below stat. threshold of conf.),0.155,Maf-like protein Synpcc7942_0209,N/A,5.99E-02,1.38E-01,0.26025075,No,non-essential
Synpcc7942_0210,Not analyzed,,hypothetical protein,N/A,,,0.176525443,No,non-essential
Synpcc7942_0211,Not analyzed,,cobyric acid synthase,cobQ,,,0.053863078,No,essential
Synpcc7942_0212,Not analyzed,,chorismate synthase,aroC,,,0.03360954,No,essential
Synpcc7942_0213,ND (below stat. threshold of conf.),-0.099,Uncharacterized protein,N/A,2.31E-01,3.76E-01,-0.168503071,No,non-essential
Synpcc7942_0214,ND (below stat. threshold of conf.),-0.064,Uncharacterized protein,N/A,3.59E-01,5.11E-01,0.425429091,No,non-essential
Synpcc7942_0215,Negligable/minor,-0.469,Uncharacterized protein,N/A,7.70E-04,3.79E-03,-0.369671229,No,non-essential
Synpcc7942_0216,Negligable/minor,-0.246,Putative zinc-binding oxidoreductase,N/A,6.86E-04,3.45E-03,0.063989502,No,non-essential
Synpcc7942_0217,Moderate increase,0.507,Phosphatases-like,N/A,4.18E-09,4.55E-08,0.211044612,No,non-essential
Synpcc7942_0218,Not analyzed,,hypothetical protein,N/A,,,0.123030641,No,ambiguous
Synpcc7942_0219,ND (below stat. threshold of conf.),-0.076,Uncharacterized protein,N/A,7.31E-01,8.17E-01,0.084253889,No,non-essential
Synpcc7942_0220,ND (below stat. threshold of conf.),-0.099,Probable cell division inhibitor MinD,N/A,3.46E-01,5.00E-01,0.161362658,No,non-essential
Synpcc7942_0221,ND (below stat. threshold of conf.),-0.072,Glucokinase (EC 2.7.1.2) (Glucose kinase),N/A,3.69E-01,5.21E-01,0.297719454,No,non-essential
Synpcc7942_0222,Not analyzed,,hypothetical protein,N/A,,,0.088804082,No,essential
Synpcc7942_0223,ND (below stat. threshold of conf.),-0.066,Uncharacterized protein,N/A,7.12E-01,8.04E-01,0.313712499,No,non-essential
Synpcc7942_0224,Not analyzed,,photosystem II reaction center protein N,psbN,,,0.228016514,No,ambiguous
Synpcc7942_0225,Not analyzed,,photosystem II reaction center protein PsbH,psbH,,,-0.408266796,No,essential
Synpcc7942_0226,Not analyzed,,Sec-independent protein translocase TatA,N/A,,,0.335939781,No,essential
Synpcc7942_0227,Not analyzed,,peptidyl-tRNA hydrolase,pth,,,0.307933733,No,essential
Synpcc7942_0228,ND (below stat. threshold of conf.),-0.118,Uncharacterized protein,N/A,5.42E-01,6.77E-01,0.245933802,No,non-essential
Synpcc7942_0229,ND (below stat. threshold of conf.),-0.018,Uncharacterized protein,N/A,8.94E-01,9.33E-01,0.066849588,No,non-essential
Synpcc7942_0230,ND (below stat. threshold of conf.),-0.079,Uncharacterized protein,N/A,2.37E-01,3.82E-01,-0.030365724,No,non-essential
Synpcc7942_0231,ND (below stat. threshold of conf.),-0.218,Putative acetyltransferase,N/A,3.96E-02,9.88E-02,-0.184933596,No,non-essential
Synpcc7942_0232,Not analyzed,,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,,,-0.112620774,No,essential
Synpcc7942_0233,ND (below stat. threshold of conf.),0.242,Uncharacterized protein,N/A,3.44E-01,4.97E-01,-0.38657031,No,non-essential
Synpcc7942_0234,ND (below stat. threshold of conf.),-0.147,Uncharacterized protein,N/A,5.24E-03,1.88E-02,-0.110505642,No,non-essential
Synpcc7942_0235,ND (below stat. threshold of conf.),-0.059,Cyclic nucleotide-binding domain (CNMP-BD) protein,N/A,5.84E-01,7.10E-01,-0.084190191,No,non-essential
Synpcc7942_0236,ND (below stat. threshold of conf.),-0.282,Cyclic nucleotide-binding domain (CNMP-BD) protein,N/A,1.75E-02,5.23E-02,-0.089119622,No,non-essential
Synpcc7942_0237,ND (below stat. threshold of conf.),-0.143,Uncharacterized protein,N/A,1.27E-01,2.45E-01,0.259458301,No,non-essential
Synpcc7942_0238,ND (below stat. threshold of conf.),-0.124,Uncharacterized protein,N/A,7.31E-02,1.60E-01,0.356700978,No,non-essential
Synpcc7942_0239,ND (below stat. threshold of conf.),-0.243,Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f),N/A,6.39E-02,1.45E-01,0.372397953,No,non-essential
Synpcc7942_0240,ND (below stat. threshold of conf.),0.164,Uncharacterized protein,N/A,1.62E-01,2.91E-01,0.244442608,No,non-essential
Synpcc7942_0241,Moderate decrease,-0.507,23S rRNA (Uracil-5-)-methyltransferase RumA (EC 2.1.1.-),N/A,8.26E-11,1.07E-09,0.05778867,No,non-essential
Synpcc7942_0242,ND (below stat. threshold of conf.),-0.240,K+-dependent Na+/Ca+ exchanger related-protein,N/A,3.19E-03,1.27E-02,0.26969463,No,non-essential
Synpcc7942_0243,Not analyzed,,possible high light inducible polypeptide HliC,hliC,,,-0.731561896,Yes,non-essential
Synpcc7942_0244,Decrease,-2.821,"Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)",glgP,1.68E-171,3.14E-168,-2.091961845,Yes,non-essential
Synpcc7942_0245,ND (below stat. threshold of conf.),-0.175,Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-),N/A,2.14E-02,6.14E-02,-3.108707757,Yes,non-essential
Synpcc7942_0246,Moderate decrease,-0.619,"Extracellular solute-binding protein, family 3",N/A,5.63E-15,1.02E-13,0.183918817,No,non-essential
Synpcc7942_0247,Moderate decrease,-0.757,ABC-type permease for basic amino acids and glutamine,N/A,4.89E-22,1.63E-20,0.23559605,No,non-essential
Synpcc7942_0248,Moderate decrease,-0.602,"Amino acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine",N/A,9.31E-19,2.26E-17,0.132288713,No,non-essential
Synpcc7942_0249,Moderate decrease,-0.743,ATPase,N/A,6.35E-10,7.47E-09,0.096413514,No,non-essential
Synpcc7942_0250,ND (below stat. threshold of conf.),-0.185,Uncharacterized protein,N/A,3.93E-02,9.81E-02,-0.130186811,No,non-essential
Synpcc7942_0251,Negligable/minor,-0.374,Exonuclease,N/A,1.72E-06,1.36E-05,-0.055200854,No,non-essential
Synpcc7942_0252,ND (below stat. threshold of conf.),-0.164,Uncharacterized protein,N/A,3.59E-01,5.11E-01,-0.631457078,No,non-essential
Synpcc7942_0253,ND (below stat. threshold of conf.),-0.202,Uncharacterized protein,N/A,1.31E-01,2.50E-01,-0.019861632,No,non-essential
Synpcc7942_0254,Not analyzed,,DNA gyrase subunit A,gyrA,,,0.165118211,No,essential
Synpcc7942_0255,ND (below stat. threshold of conf.),-0.120,ATPase,N/A,1.11E-01,2.23E-01,-0.045245212,No,non-essential
Synpcc7942_0256,ND (below stat. threshold of conf.),0.126,"Peptidase M20D, amidohydrolase (EC 3.5.1.14)",N/A,1.45E-01,2.71E-01,-0.159280182,No,non-essential
Synpcc7942_0257,Not analyzed,,"Protein of unknown function DUF92, transmembrane",N/A,,,0.155143138,No,essential
Synpcc7942_0258,ND (below stat. threshold of conf.),-0.421,Uncharacterized protein,N/A,3.71E-03,1.43E-02,0.499797287,No,non-essential
Synpcc7942_0259,ND (below stat. threshold of conf.),-0.369,Uncharacterized protein,N/A,1.11E-01,2.23E-01,0.353369767,No,non-essential
Synpcc7942_0260,Not analyzed,,ATPase,"clpC, SyclpC",,,-0.010222564,No,essential
Synpcc7942_0261,ND (below stat. threshold of conf.),-0.292,Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128),N/A,4.25E-02,1.05E-01,0.067310494,No,non-essential
Synpcc7942_0262,Not analyzed,,diaminopimelate decarboxylase,lysA,,,0.411923247,No,essential
Synpcc7942_0263,Negligable/minor,-0.461,Uncharacterized protein,N/A,1.08E-04,6.36E-04,0.163411836,No,non-essential
Synpcc7942_0264,Not analyzed,,Undecaprenyl pyrophosphate synthetase,uppS,,,0.126692988,No,essential
Synpcc7942_0265,ND (below stat. threshold of conf.),-0.312,Uncharacterized protein,N/A,7.47E-02,1.62E-01,0.044216839,No,non-essential
Synpcc7942_0266,ND (below stat. threshold of conf.),-0.139,Heat shock protein DnaJ-like,N/A,1.42E-01,2.66E-01,0.176213385,No,non-essential
Synpcc7942_0267,Decrease,-1.268,Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase),gidB,7.10E-16,1.45E-14,-0.246249103,No,non-essential
Synpcc7942_0268,ND (below stat. threshold of conf.),-0.077,Uncharacterized protein,N/A,3.70E-01,5.22E-01,0.263881046,No,non-essential
Synpcc7942_0269,ND (below stat. threshold of conf.),-0.074,Uncharacterized protein,N/A,3.79E-01,5.30E-01,0.070674114,No,non-essential
Synpcc7942_0270,ND (below stat. threshold of conf.),-0.046,TPR repeat-containing protein Synpcc7942_0270,N/A,6.53E-01,7.60E-01,0.309054325,No,non-essential
Synpcc7942_0271,Not analyzed,,uroporphyrinogen-III C-methyltransferase,cobA,,,0.147326789,No,essential
Synpcc7942_0272,Not analyzed,,Uroporphyrinogen-III synthase,hemD,,,0.027329025,No,essential
Synpcc7942_0273,Not analyzed,,Dephospho-CoA kinase,coaE,,,-0.11947798,No,essential
Synpcc7942_0274,Not analyzed,,hypothetical protein,N/A,,,-0.136906725,No,essential
Synpcc7942_0275,Not analyzed,,hypothetical protein,N/A,,,-0.155603015,No,non-essential
Synpcc7942_0276,Negligable/minor,0.347,Glycolate oxidase subunit GlcD,N/A,1.55E-03,6.81E-03,-0.137636931,No,non-essential
Synpcc7942_0277,Not analyzed,,NAD-dependent DNA ligase LigA,"ligA, lig",,,0.026085103,No,essential
Synpcc7942_0278,ND (below stat. threshold of conf.),-0.165,NADH:ubiquinone oxidoreductase 24 kD subunit-like,N/A,8.36E-02,1.77E-01,-0.635407363,No,non-essential
Synpcc7942_0279,ND (below stat. threshold of conf.),-0.112,NADH dehydrogenase (Quinone) (EC 1.6.99.5),N/A,8.04E-02,1.72E-01,-0.660886893,No,non-essential
Synpcc7942_0280,ND (below stat. threshold of conf.),0.007,CinA-like protein,N/A,9.24E-01,9.51E-01,0.023343837,No,non-essential
Synpcc7942_0281,Not analyzed,,probable glycosyltransferase,N/A,,,0.234768955,No,essential
Synpcc7942_0282,Not analyzed,,serine hydroxymethyltransferase,"glyA, gylA",,,-0.129414133,No,essential
Synpcc7942_0283,ND (below stat. threshold of conf.),-0.066,tRNA-dihydrouridine synthase (EC 1.3.1.-),N/A,3.56E-01,5.08E-01,0.05904684,No,non-essential
Synpcc7942_0284,Not analyzed,,carbon dioxide concentrating mechanism protein CcmK,ccmK3,,,0.358879446,No,essential
Synpcc7942_0285,Not analyzed,,carbon dioxide concentrating mechanism protein CcmK,ccmK4,,,0.227892897,No,essential
Synpcc7942_0286,ND (below stat. threshold of conf.),-0.064,Uncharacterized protein,N/A,7.01E-01,7.95E-01,0.130645116,No,non-essential
Synpcc7942_0287,ND (below stat. threshold of conf.),-0.582,Uncharacterized protein,N/A,1.12E-01,2.23E-01,0.263734258,No,non-essential
Synpcc7942_0288,Not analyzed,,glucosamine-1-phosphate N-acetyltransferase / UDP-N-acetylglucosamine pyrophosphorylase,glmU,,,0.245660139,No,essential
Synpcc7942_0289,Not analyzed,,preprotein translocase subunit SecA,secA,,,0.008392373,No,essential
Synpcc7942_0290,Not analyzed,,dihydroorotate dehydrogenase 2,pyrD,,,-0.020452583,No,essential
Synpcc7942_0291,ND (below stat. threshold of conf.),0.186,Uncharacterized protein,N/A,5.20E-01,6.57E-01,-0.545832499,No,non-essential
Synpcc7942_0292,Not analyzed,,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase,"dfp, coaBC",,,-0.092474469,No,essential
Synpcc7942_0293,Negligable/minor,0.426,Uncharacterized protein,N/A,1.53E-03,6.79E-03,0.286505827,No,non-essential
Synpcc7942_0294,Not analyzed,,photosystem II manganese-stabilizing polypeptide,"psbO, woxA",,,0.090606772,No,beneficial
Synpcc7942_0295,Not analyzed,,sulfate adenylyltransferase,"sat, met3, sopT",,,0.12642212,No,beneficial
Synpcc7942_0296,Negligable/minor,-0.398,Uncharacterized protein,N/A,3.78E-08,3.82E-07,0.078894395,No,beneficial
Synpcc7942_0297,Not analyzed,,"FtsH peptidase homologue, chloroplast. Metallo peptidase. MEROPS family M41",ftsH,,,-0.281943697,No,essential
Synpcc7942_0298,Not analyzed,,hypothetical protein,N/A,,,0.125923181,No,essential
Synpcc7942_0299,Not analyzed,,rod shape-determining protein MreC,mreC,,,0.198092137,No,essential
Synpcc7942_0300,Not analyzed,,rod shape-determining protein MreB,mreB,,,0.094411127,No,essential
Synpcc7942_0301,ND (below stat. threshold of conf.),0.571,Single-stranded DNA-binding protein (SSB),N/A,7.66E-03,2.63E-02,0.010765464,No,ambiguous
Synpcc7942_0302,ND (below stat. threshold of conf.),-0.058,Phospholipase D/Transphosphatidylase,N/A,4.11E-01,5.65E-01,-0.833077515,No,non-essential
Synpcc7942_0303,ND (below stat. threshold of conf.),-0.034,Response regulator receiver domain protein (CheY-like),N/A,6.74E-01,7.73E-01,0.222458866,No,non-essential
Synpcc7942_0304,Negligable/minor,-0.270,Uncharacterized protein,N/A,1.45E-03,6.43E-03,-2.947191576,No,non-essential
Synpcc7942_0305,ND (below stat. threshold of conf.),0.432,Uncharacterized protein,N/A,5.32E-02,1.26E-01,-0.480453429,No,non-essential
Synpcc7942_0306,ND (below stat. threshold of conf.),0.152,Uncharacterized protein,N/A,3.77E-01,5.27E-01,0.074355285,No,non-essential
Synpcc7942_0307,ND (below stat. threshold of conf.),-0.057,Na+/H+ antiporter (NapA),N/A,4.26E-01,5.77E-01,-0.132707116,No,non-essential
Synpcc7942_0308,ND (below stat. threshold of conf.),0.074,CO2 hydration protein,N/A,4.49E-01,5.98E-01,-0.044742331,No,non-essential
Synpcc7942_0309,ND (below stat. threshold of conf.),-0.024,"NAD(P)H dehydrogenase, subunit NdhF3 family (EC 1.6.99.5) (NADPH dehydrogenase subunit 5)",N/A,7.25E-01,8.13E-01,-0.123878703,No,non-essential
Synpcc7942_0310,Not analyzed,,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,"ispE, ipk",,,0.220028702,No,essential
Synpcc7942_0311,ND (below stat. threshold of conf.),0.040,"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)",N/A,7.09E-01,8.01E-01,-0.141903822,No,non-essential
Synpcc7942_0312,ND (below stat. threshold of conf.),-0.196,UPF0102 protein Synpcc7942_0312,N/A,7.48E-02,1.62E-01,-0.997267299,No,non-essential
Synpcc7942_0313,ND (below stat. threshold of conf.),-0.200,Uncharacterized protein,N/A,5.36E-02,1.26E-01,-0.006430304,No,non-essential
Synpcc7942_0314,Moderate increase,0.653,Succinate dehydrogenase subunit C (EC 1.3.5.1),N/A,5.55E-10,6.58E-09,-0.033275269,Yes,non-essential
Synpcc7942_0315,Not analyzed,,adenylosuccinate lyase,purB,,,-0.197977662,Yes,essential
Synpcc7942_0316,ND (below stat. threshold of conf.),-0.290,Uncharacterized protein,N/A,3.61E-02,9.22E-02,-1.362508312,Yes,non-essential
Synpcc7942_0317,ND (below stat. threshold of conf.),-0.149,Uncharacterized protein,N/A,1.71E-01,3.03E-01,-0.03556564,No,non-essential
Synpcc7942_0318,ND (below stat. threshold of conf.),-0.171,Uncharacterized protein,N/A,2.90E-01,4.41E-01,0.362900876,No,non-essential
Synpcc7942_0319,Moderate decrease,-0.623,Hemolysin A,N/A,1.76E-05,1.19E-04,0.164497835,No,non-essential
Synpcc7942_0320,Not analyzed,,UDP-galactose 4-epimerase,"galE, galD",,,0.157006741,No,essential
Synpcc7942_0321,Not analyzed,,nitrogen regulatory protein P-II,glnB,,,0.236068827,No,essential
Synpcc7942_0322,Not analyzed,,c-type cytochrome biogenesis protein,ycf44,,,0.193815851,No,essential
Synpcc7942_0323,Not analyzed,,Cytochrome c biogenesis protein-like,ccdA,,,0.247441841,No,essential
Synpcc7942_0324,Not analyzed,,cell division protein FtsW,ftsW,,,0.012427513,No,essential
Synpcc7942_0325,Not analyzed,,Lc 7.8 apoprotein (core components of the phycobilisomes),"apcC, apcI",,,0.19826389,No,ambiguous
Synpcc7942_0326,Not analyzed,,"allophycocyanin, beta subunit","apcB, apcB2",,,0.290967454,No,essential
Synpcc7942_0327,Not analyzed,,allophycocyanin alpha chain,apcA,,,0.22022513,No,essential
Synpcc7942_0328,Not analyzed,,phycobilisome core-membrane linker polypeptide,apcE,,,0.04083531,No,essential
Synpcc7942_0329,ND (below stat. threshold of conf.),-0.201,Uncharacterized protein,N/A,8.21E-03,2.78E-02,0.218911883,No,non-essential
Synpcc7942_0330,Not analyzed,,hypothetical protein,atp1,,,0.3321845,No,essential
Synpcc7942_0331,Not analyzed,,F0F1 ATP synthase subunit A,atpI,,,0.607012129,No,essential
Synpcc7942_0332,Not analyzed,,F0F1 ATP synthase subunit C,"atpH, atpE",,,0.504573154,No,essential
Synpcc7942_0333,Not analyzed,,F0F1 ATP synthase subunit B',atpG,,,0.359603374,No,essential
Synpcc7942_0334,Not analyzed,,F0F1 ATP synthase subunit B,atpF,,,0.211105078,No,essential
Synpcc7942_0335,Not analyzed,,F0F1 ATP synthase subunit delta,"atpD, atpH",,,0.318213028,No,essential
Synpcc7942_0336,Not analyzed,,F0F1 ATP synthase subunit alpha,atpA,,,0.274721621,No,essential
Synpcc7942_0337,Not analyzed,,F0F1 ATP synthase subunit gamma,"atpC, atpG",,,0.422135382,No,essential
Synpcc7942_0338,ND (below stat. threshold of conf.),-0.291,Ferredoxin (2Fe-2S),N/A,1.79E-02,5.31E-02,0.294368959,No,non-essential
Synpcc7942_0339,ND (below stat. threshold of conf.),-0.086,Uncharacterized protein,N/A,4.63E-01,6.09E-01,0.080149641,No,beneficial
Synpcc7942_0340,ND (below stat. threshold of conf.),0.275,Uncharacterized protein,N/A,1.95E-02,5.76E-02,0.015982653,No,non-essential
Synpcc7942_0341,ND (below stat. threshold of conf.),-0.249,Uncharacterized protein,N/A,2.02E-01,3.44E-01,0.019863904,No,non-essential
Synpcc7942_0342,ND (below stat. threshold of conf.),-0.193,Uncharacterized protein,N/A,2.94E-01,4.44E-01,0.746028127,Yes,non-essential
Synpcc7942_0343,ND (below stat. threshold of conf.),-0.268,Photosystem II lipoprotein Psb27 (Photosystem II 11 kDa protein),N/A,3.81E-01,5.32E-01,-0.211568228,No,beneficial
Synpcc7942_0344,ND (below stat. threshold of conf.),0.119,Probable peptidase,N/A,2.92E-01,4.42E-01,-0.006140355,No,non-essential
Synpcc7942_0345,Not analyzed,,Biotin--acetyl-CoA-carboxylase ligase,birA,,,-0.051197167,No,essential
Synpcc7942_0346,Negligable/minor,-0.358,Laccase domain protein,N/A,3.02E-05,1.96E-04,0.329735718,No,beneficial
Synpcc7942_0347,Decrease,-1.300,Uncharacterized protein,N/A,2.08E-03,8.80E-03,-0.161823059,No,non-essential
Synpcc7942_0348,Not analyzed,,recombinase A,recA,,,-0.061582652,No,essential
Synpcc7942_0349,ND (below stat. threshold of conf.),-0.144,Uncharacterized protein,N/A,2.84E-01,4.32E-01,0.014595892,No,non-essential
Synpcc7942_0350,Moderate increase,0.761,ATPase,N/A,4.82E-28,2.20E-26,0.188436206,No,non-essential
Synpcc7942_0351,Negligable/minor,0.482,Putative ABC transport system substrate-binding protein,N/A,2.62E-09,2.92E-08,-0.081814525,No,non-essential
Synpcc7942_0352,ND (below stat. threshold of conf.),-0.216,Methionine sulfoxide reductase B (EC 1.8.4.11),N/A,6.81E-02,1.51E-01,-0.020419273,No,non-essential
Synpcc7942_0353,ND (below stat. threshold of conf.),-0.065,Na+-dependent transporter-like,N/A,3.76E-01,5.26E-01,-0.106596377,No,non-essential
Synpcc7942_0354,Negligable/minor,0.488,Beta-glucosidase-related glycosidases-like,N/A,1.45E-07,1.32E-06,-0.166243302,No,non-essential
Synpcc7942_0355,Moderate decrease,-0.856,Ribosome-binding factor A,N/A,2.18E-04,1.20E-03,0.015850107,No,non-essential
Synpcc7942_0356,Not analyzed,,conserved hypothetical protein YCF33,ycf33,,,0.051642228,No,ambiguous
